,Breed,Gender,Neutered_or_spayed,Fur_colour_dominant,Fur_pattern,Eye_colour,Allowed_outdoor,Preferred_food,Country,Age_in_years,Body_length,Weight,Owner_play_time_minutes,Sleep_time_hours,Latitude,Longitude
0,Angora,female,False,white,solid,blue,FALSE,wet,France,0.25,19.0,2.0,46.0,16.0,43.296482,5.36978
1,Angora,male,False,white,solid,blue,FALSE,wet,France,0.33,19.0,2.5,48.0,16.0,43.61166,3.87771
2,Angora,male,False,what does it mean dominant?,solid,green,I never allow my kitty outside!!!!!,wet,France,0.5,20.0,2.8,41.0,11.0,44.837789,-0.57918
3,Ankora,male,False,white,dirty,blue,FALSE,wet,France,0.5,21.0,3.0,24.0,8.0,43.61166,3.87771
4,Angora,male,True,red/cream,tabby,green,FALSE,wet,france,0.5,21.0,3.0,51.0,10.0,48.864716,2.349014
5,Ragdoll,female,False,white,solid,amber,FALSE,a lot of food,France,0.5,21.0,3.0,30.0,28.0,43.61166,3.87771
6,Angora,male,True,white,solid,amber,FALSE,wet,France,0.58,22.0,3.0,47.0,9.0,47.218371,-1.553621
7,Angora,male,True,red/cream,solid,cute,FALSE,wet,France,4.460752487562499,23.0,3.0,55.0,11.0,47.218371,-1.553621
8,Angora,female,True,black,solid,blue,FALSE,wet,France,4.460752487562499,25.0,3.0,20.0,12.0,43.296482,5.36978
9,Angora,female,True,white,solid,blue,FALSE,wet,France,4.460752487562499,25.0,320.0,33.0,17.0,44.837789,-0.57918
10,Ragdoll,female,False,black,solid,green,FALSE,wet,France,0.67,26.0,3.0,39.0,18.0,43.296482,5.36978
11,Angora,male,True,white,solid,amber,FALSE,wet,France,0.67,26.0,3.3,23.17652495378928,15.898305084745763,43.61166,3.87771
12,Angora,male,True,white,solid,amber,FALSE,wet,France,0.75,27.0,3.3,23.17652495378928,15.898305084745763,48.864716,2.349014
13,Angora,male,True,white,solid,blue,FALSE,wet,France,-1.083333333,28.0,3.2,35.0,14.0,45.76342,4.834277
14,Angora,male,True,red/cream,tabby,blue,FALSE,dry,France,-1.333333333,30.0,3.5,38.0,20.0,48.864716,2.349014
15,Ragdoll,male,False,white,solid,green,FALSE,dry,France,0.83,31.0,3.4,56.0,17.0,48.864716,2.349014
16,Ragdoll,male,True,seal,solid,green,FALSE,wet,USA,4.460752487562499,43.903435468895076,5.740900649953575,48.0,14.0,47.218371,-1.553621
17,Ragdoll,female,True,white,solid,blue,FALSE,wet,USA,0.92,31.0,3.9,55.0,32.0,44.837789,-0.57918
18,Angora,male,True,white,solid,blue,TRUE,wet,USA,-1.0,31.0,3.5,42.0,14.0,43.296482,5.36978
19,Angora,male,True,white,solid,amber,FALSE,wet,USA,1.0,35.0,3.9,41.0,17.0,45.76342,4.834277
20,Angora,male,True,white,solid,blue,FALSE,dry,France,4.33,25.0,4.0,36.0,14.0,44.837789,-0.57918
21,angora,female,True,white,solid,blue,TRUE,wet,France,1.17,34.0,3.8,23.0,17.0,48.864716,2.349014
22,Ankora,male,True,white,solid,amber,FALSE,wet,France,3.0,38.0,5.0,16.0,14.0,43.296482,5.36978
23,Ankora,female,True,white,solid,amber,FALSE,wet,France,1.17,25.0,3.0,19.0,17.0,45.76342,4.834277
24,Angora,male,True,white,dirty,cute,FALSE,wet,La France!!!!,4.0,39.0,4.6,33.0,14.0,45.76342,4.834277
25,Angora,male,True,black,solid,green,TRUE,dry,France,5.83,37.0,4.6,9.0,16.0,48.864716,2.349014
26,Angora,female,True,white,solid,blue,FALSE,wet,France,1.25,26.0,3.4,25.0,15.0,43.296482,5.36978
27,Angora,male,True,white,solid,blue,TRUE,wet,France,5.33,44.0,4.6,20.0,16.0,44.837789,-0.57918
28,Angora,male,True,red/cream,tabby,blue,FALSE,wet,France,4.460752487562499,40.0,3.8,35.0,17.0,45.76342,4.834277
29,Angora,male,False,black,solid,green,FALSE,dry,France,4.460752487562499,41.0,5.0,31.0,14.0,47.218371,-1.553621
30,Angora,male,False,white,solid,blue,FALSE,wet,France,4.460752487562499,40.0,3.6,27.0,14.0,43.296482,5.36978
31,Angora,female,True,white,solid,blue,FALSE,dry,France,1.58,33.0,3.5,18.0,18.0,48.864716,2.349014
32,Angora,female,True,white,solid,blue,TRUE,wet,france,1.58,33.0,3.2,12.0,19.0,48.864716,2.349014
33,Angora,male,True,white,solid,blue,FALSE,wet,France,4.5,37.0,5.6,9.0,14.0,47.218371,-1.553621
34,Angora,male,False,black,solid,blue,TRUE,dry,France,4.75,41.0,4.2,19.0,14.0,44.837789,-0.57918
35,Ragdoll,female,True,white,solid,blue,FALSE,wet,France,1.67,35.0,5.0,10.0,15.0,45.76342,4.834277
36,Ragdoll,male,True,white,solid,blue,FALSE,wet,France,1.67,28.0,3.1,39.0,18.0,43.296482,5.36978
37,Ragdoll,male,False,black,solid,blue,FALSE,wet,France,1.67,36.0,3.9,35.0,19.0,43.61166,3.87771
38,Ragdoll,female,True,white,solid,amber,FALSE,wet,France,1.75,28.0,4.9,10.0,17.0,48.864716,2.349014
39,Angora,male,True,black,solid,blue,FALSE,dry,France,1.75,34.0,4.7,23.0,19.0,45.76342,4.834277
40,Angora,male,False,white,solid,blue,TRUE,wet,France,1.75,34.0,4.0,25.0,20.0,44.837789,-0.57918
41,Angora,male,True,black,solid,green,FALSE,wet,france,1.83,22.0,2.9,40.0,20.0,44.837789,-0.57918
